IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
4824,6377,1991,999912,ET,3,3,OL,NA,CT,Surface,12,03020105_NC,03020105_NC,-75.98,35.109
4825,6378,1920,999912,HY,1.3,1.3,NN,NA,NN,Unknown,1,01080205_MA,01080205_MA,-72.633,42.149
4826,6379,1928,999912,HY,3.7,3.7,NN,NA,NN,Unknown,1,01080204_MA,01080204_MA,-72.508,42.158
4827,6388,1913,999912,HY,6.4,6.4,HY,NA,HY,Surface,1,01080201_MA,01080201_MA,-72.518,42.624
4828,6390,1974,999912,ET,3.8,3.8,NN,NA,NN,Unknown,12,02080101_VA,02080101_VA,-75.991,37.828
4829,6391,1969,999912,ET,1.6,1.6,OL,NA,CT,Groundwater,13,02080110_MD,02060001_MD,-76.035,37.993
4830,6393,1951,999912,HY,1.5,1.5,HY,NA,HY,Surface,19,17040105_WY,17040105_WY,-110.9,42.9
4831,6394,2009,999912,HY,1.7,1.7,NN,NA,NN,Unknown,19,17040105_WY,17040105_WY,-110.896,42.727
4832,6395,1950,999912,HY,40,40,HY,NA,HY,Surface,19,17050101_ID,17050113_ID,-115.451,43.357
4833,6396,1925,999912,HY,10.2,10.2,HY,NA,HY,Surface,19,17050122_ID,17050122_ID,-116.507,43.874
4834,6397,2004,999912,HY,3.3,3.3,HY,NA,HY,Surface,19,17050114_ID,17050114_ID,-116.197,43.592
4835,6398,1927,999912,HY,27.7,27.7,HY,NA,HY,Surface,19,17040209_ID,17040209_ID,-113.663,42.634
4836,6400,1953,999912,HY,57.6,57.6,HY,NA,HY,Surface,19,10030101_MT,10030101_MT,-111.728,46.649
4837,6402,1940,999912,HY,27.9,27.9,HY,NA,HY,Surface,21,13030101_NM,13030101_NM,-107.251,33.132
4838,6403,1960,999912,HY,17.2,17.2,HY,NA,HY,Surface,22,17100308_OR,17100308_OR,-122.686,42.188
4839,6404,1958,999912,HY,5.4,5.4,HY,NA,HY,Surface,20,16020201_UT,16020203_UT,-111.677,40.234
4840,6405,1963,999912,HY,151.8,151.8,HY,NA,HY,Surface,20,14040106_UT,14040106_UT,-109.421,40.914
4841,6406,1956,999912,HY,12,12,HY,NA,HY,Surface,22,17030003_WA,17030003_WA,-119.471,46.277
4842,6407,1958,999912,HY,12.9,12.9,HY,NA,HY,Surface,22,17030003_WA,17030003_WA,-120.471,46.606
4843,6408,1948,999912,HY,5,4.6,HY,NA,HY,Surface,19,10080014_WY,10080014_WY,-109.092,44.516
4844,6409,1955,999912,HY,41.4,41.4,HY,NA,HY,Surface,19,10180007_WY,10180007_WY,-106.718,42.548
4845,6410,1954,999912,HY,30,30,HY,NA,HY,Surface,18,13090001_TX,13080003_TX,-99.164,26.558
4846,6413,1965,999912,HY,52,52,HY,NA,HY,Surface,18,12060202_TX,12020005_TX,-94.103,31.061
4847,6414,1953,999912,HY,30,30,HY,NA,HY,Surface,18,12020005_TX,12060202_TX,-97.367,31.869
4848,6415,1970,999912,HY,115,115,HY,NA,HY,Surface,18,11140108_OK,11140108_OK,-94.684,34.139
4849,6416,1945,999912,HY,80,80,HY,NA,HY,Surface,18,11140101_TX,11140101_TX,-96.569,33.818
4850,6417,1950,999912,HY,156,156,HY,NA,HY,Surface,16,05130108_TN,05130108_TN,-85.827,36.097
4851,6418,1958,999912,HY,41.4,41.4,HY,NA,HY,Surface,16,05130205_TN,05130205_TN,-87.222,36.321
4852,6419,1964,999912,HY,103.5,103.5,HY,NA,HY,Surface,18,11090204_OK,11090204_OK,-95.357,35.307
4853,6421,1956,999912,HY,38,38,HY,NA,HY,Surface,22,17100301_OR,17100301_OR,-122.403,43.281
4854,6422,1906,999912,HY,8,8,HY,NA,HY,Surface,19,10020007_MT,10020007_MT,-111.638,45.485
4855,6424,1927,999912,HY,62.1,62.1,HY,NA,HY,Surface,22,17020010_WA,17020009_WA,-120.013,47.834
4856,6430,1921,999912,HY,30,30,HY,NA,HY,Surface,22,17110010_WA,17110012_WA,-121.781,47.42
4857,6431,1924,999912,HY,176,176,HY,NA,HY,Surface,22,17110005_WA,17110005_WA,-121.239,48.676
4858,6432,1937,999912,HY,168.4,168.4,HY,NA,HY,Surface,22,17110005_WA,17110005_WA,-121.14,48.716
4859,6433,1967,999912,HY,1039.8,1039.8,HY,NA,HY,Surface,22,17010216_WA,17010216_WA,-117.35,48.988
4860,6438,1949,999912,HY,1.4,1.4,HY,NA,HY,Surface,12,06010202_NC,06010202_NC,-83.675,35.273
4861,6440,1925,999912,HY,667.5,662.8,HY,NA,HY,Surface,17,06030005_AL,06030005_AL,-87.625,34.798
4862,6449,1949,999912,HY,2,2,HY,NA,HY,Surface,23,18070106_CA,18070106_CA,-117.883,34.117
4863,6450,1927,999912,HY,6.5,6.6,HY,NA,HY,Surface,1,04150402_VT,02010002_VT,-73.035,43.664
4864,6451,1913,999912,HY,4.4,5.7,HY,NA,HY,Surface,1,04150402_VT,02010002_VT,-73.176,44.051
